date,note,texte,source,Catégorie,Catégorie_secondaire,Gravité
2026-03-19 19:07:04+00:00,5,très bien,Google Play,Autre,,Basse
2026-03-19 15:01:41+00:00,4,pourrais être mieux,Google Play,Autre,,Basse
2026-03-18 15:05:40+00:00,1,Inutilisable sur mon IPad. L’application s’installe systématiquement en Anglais alors que ma langue système est le Français et en plus on m’impose une devise $NZ. Je ne peux pas réserver à partir de l’ipad car je ne trouve pas comment changer ces paramètres,App Store,Localisation / Langue,,Haute
2026-03-18 05:02:14+00:00,4,depuis que je l utilise pour l instant aucun soucis.a présent a voir pour ma location en Juillet. bien a vous.,Google Play,Qualité du bien,,Basse
2026-03-16 23:56:59+00:00,5,application top pratique et riches en locations,Google Play,Qualité du bien,,Basse
2026-03-16 18:23:51+00:00,1,"Résevation location. Nous apprenons après avoir réservé et payé en totalité une location pour fin d’année 2026 que trois semaines après cette réservation celle-ci a été supprimée de leur propre chef.
Fort heureusement la somme nous a été restituée, mais nous faisons part de notre mécontentement car aucune explication nous est parvenue à ce jour. Nous déplairons cette manière de faire car un minimum d’échange aurait pu se produire.
Nous pouvons dire qu’en passant par ce site vous n’auriez pas la certitude que votre réservation soit garantie, donc site pas fiable et à fuir",Trustpilot,Financier,Qualité du bien,Haute
2026-03-16 15:49:50+00:00,5,Un petit coin de Paradis,Google Play,Autre,,Basse
2026-03-16 07:42:38+00:00,5,site pratique et sûr,Google Play,Autre,,Basse
2026-03-15 22:14:03+00:00,4,je me suis faites arnaquer par un site se faisant passer pour vous sur ce gîte les pommier je pense,Google Play,Financier,Qualité du bien,Haute
2026-03-15 13:55:09+00:00,5,facile et sans surprise,Google Play,Autre,,Basse
2026-03-15 11:05:42+00:00,1,"Abritel Vrbo. Abritel Vrbo, ne sont qu'une bande de VOLEURS, n'y mettez pas vos locations, ils vous voleront des frais à tout va, et si vous annulez une location alors là, vous êtes déshabiller. 
Tres mauvaise relation avec qqes ce soit de leurs services, NUL, VOLEUR",Trustpilot,Localisation / Langue,Annulation / Réservation,Haute
2026-03-14 14:28:43+00:00,1,impossible de mettre en français.,Google Play,Localisation / Langue,,Haute
2026-03-12 18:47:39+00:00,1,trop Compliqueè,Google Play,UX / Ergonomie,,Haute
2026-03-12 13:22:33+00:00,1,"Abritel refuse les avis non-élogieux !!. Entreprise malhonnête !!

Nous avons rédigé un avis sur notre logement de ski pour faire part du fait que les modalités précisées dans l'annonce n'ont pas toutes été respectées, comme des serviettes fournies qui étaient en réalité payantes et des incohérences dans les frais de ménages, lesquelles selon la propriétaire étaient dues ""à l'Abritel"". 

Mais nous n'avons jamais pu publier notre avis car le site refuse de le faire, avec comme motif ""Votre envoi comporte des commentaires trompeurs ou inexacts"" !! Le site n'était même pas ""présent"" au logement pour en juger !! Maintenant on comprend mieux le pourquoi des avis uniquement élogieux sur le site",Trustpilot,Financier,Qualité du bien,Haute
2026-03-12 13:00:09+00:00,1,"Jamais plus jamais. Jamais plus jamais. Il y en aurait trop à dire....Voleurs, locations sales, fausses annonces, fausses remises, allez ailleurs réserver !
Vive Booking !",Trustpilot,Financier,Qualité du bien,Haute
2026-03-11 19:02:41+00:00,4,application au top. rien à relire,Google Play,Autre,,Basse
2026-03-11 18:55:54+00:00,1,"pas de choix de langue possible, monnaie utilisée n'est pas l'euros, impossible de modifier",Google Play,Localisation / Langue,,Haute
2026-03-10 22:32:14+00:00,5,"recherches faciles, et surtout confiance... permet des choix précis.",Google Play,Autre,,Basse
2026-03-10 17:02:08+00:00,2,"Communication déplorable. Le 4 Mars 2026, après avoir réservé et payé pour un studio à Berck, nous arrivons à l’adresse indiquée par le site, mais sans accueil de l’hôte. La veille, nous avions envoyé, comme proposé sur le site, un message à l’hôte afin d’obtenir une précision sur l’équipement du studio. Sans réponse !
C’est donc devant l’immeuble, sans trouver le nr indiqué, que nous poireautons dans l’incertitude la plus complète, envisageant même avoir été piégés par une arnaque. Nous appelons donc l’assistance Abritel, qui nous balade via un interlocuteur virtuel, en proposant des numéros de téléphone fantaisistes et même un nr international non attribué.
Finalement, après une quarantaine de minutes, nous avons enfin l’hôte au téléphone, surpris que son studio ait été loué et non prévenu par Abritel. 
Il existe donc un fort disfonctionnement dans la procédure de réservation, qui après validation du paiement devrait aboutir à un échange possible avec l’hôte pour préparer la venue des locataires.
Nous ne passerons plus par ce site pour nos prochaines vacances !!!",Trustpilot,Financier,Service Client,Haute
2026-03-10 13:52:57+00:00,1,"demande de transfert de plusieurs annonces.pas diplomate et raccroche au nez, sûrement car les étrangers au téléphone ne comprennent pas mon accent",Google Play,Service Client,Qualité du bien,Haute
2026-03-10 09:49:35+00:00,1,"J'ai réservé la maison du passe-temps à…. J'ai réservé la maison du passe-temps à Bouquetot sur Abritel et j'ai donc payé par carte bancaire. Puis n'obtenant pas de réponse du propriétaire j'ai cherché sur internet un contact et j'ai vu que mes dates étaient déjà prises sur Airbnb. Ensuite j'ai reçu sur Abritel une annulation de ma réservation de logement . En revanche, je n'ai eu aucun remboursement. Les propriétaires n'ont pas daigné répondre à mes messages. Une vraie escroquerie. Je porte plainte afin d'être remboursé et c'est terminé pour moi abritel",Trustpilot,Annulation / Réservation,Financier,Haute
2026-03-09 13:58:34+00:00,2,problème technique fréquent,Google Play,Bug Technique,,Haute
2026-03-09 09:22:06+00:00,5,pratique pour communiquer et partager.,Google Play,Autre,,Basse
2026-03-08 23:42:19+00:00,1,"Le site publie des annonces incomplètes…voire malhonnêtes. Le site publie des annonces incomplètes pour d’autres sites…et il est impossible d’obtenir des renseignements élémentaires indispensables sur les locations proposees.
Trois appels passés à trois agents abritel différents trois jours de suite et je n’ai obtenu aucune réponse malgré les promesses de me rappeler .
Pour savoir s’il y a du linge de maison, comment sont organisés l’accueil et le ménage, il faut réserver et payer! C.est inadmissible et non professionnel …voire malhonnête",Trustpilot,Financier,Service Client,Haute
2026-03-08 21:53:38+00:00,1,"Montant à régler plus élevé que le devis. Dès la saisie du moyen de paiement, le montant à régler augmente sensiblement. Sans alerte, sans motif et donc sans aucun respect du devis",Trustpilot,Financier,,Haute
2026-03-08 20:48:15+00:00,1,en anglais et impossible d'ouvrir le compte,Google Play,Localisation / Langue,Bug Technique,Haute
2026-03-08 13:33:54+00:00,4,bonne application mais est ce que le site est sécurisé pour les paiements,Google Play,Financier,,Basse
2026-03-08 10:16:34+00:00,1,"Les voyageurs sont toujours privilégiés… Hôtes, vous êtes la vache à lait!. Les voyageurs sont toujours privilégiés au détriment des hotes.
Abritel considère votre bien comme le leur. Ils appliquent des ristournes sur des réservations longtemps à l'avance sans vous demander votre avis. En  réaction, j'ai retiré mon bien pour l'instant, mais je reçois quand même une résa.
L'année dernière je me suis batu contre leur site pour modifier une réservation à la demande du voyageur ; résultat, 30% de manque à gagner, mais..., pas moyen de se faire payer, c'est trop tard!",Trustpilot,Financier,Qualité du bien,Haute
2026-03-07 15:47:56+00:00,1,"Prélevé 2 fois pour la même réservation et refus de remboursement !. J’ai réservé un logement sur Abritel/VRBO en juin dernier pour 2 nuits à Edinbourg et à mon retour je me suis rendu compte que j’ai été débité deux fois à deux dates différentes. Le nom du bénéficiaire du deuxième prélèvement n’était pas apparemment mais le montant était exactement le même, en livre sterling (monnaie que je n’utilise jamais) et l’activité du commerçant était « Hébergement Hotel Motels ». Malgré toutes les preuves fournies du double paiement, Abritel/VRBO a refusé de me rembourser le 2e prélèvement. SI VOUS VOULEZ EVITER DE PAYER 2 FOIS A VOTRE INSU, FUYEZ ABRITEL/VRBO !",Trustpilot,Localisation / Langue,Financier,Haute
2026-03-07 15:19:54+00:00,1,"Prélevé 2 fois pour la même réservation et refus de remboursement ! J’ai réservé un logement sur Abritel/VRBO en juin dernier pour 2 nuits à Edinbourg et à mon retour je me suis rendu compte que j’ai été débité 2 fois à deux dates différentes. Le nom du bénéficiaire du 2e prélèvement n’était pas apparent mais le montant était exactement le même, en livre sterling et l’activité du commerçant était « Hébergement Hotel Motels ». Malgré toutes les preuves, on m'a refusé de me rembourser !",Google Play,Localisation / Langue,Financier,Haute
2026-03-07 09:03:39+00:00,5,fiable,Google Play,Autre,,Basse
2026-03-06 12:42:04+00:00,5,très bien !,Google Play,Autre,,Basse
2026-03-05 22:15:59+00:00,3,carte non dispo sur appli?,Google Play,Autre,,Basse
2026-03-05 11:03:18+00:00,1,impossible d'ouvrir !!?,Google Play,Bug Technique,,Haute
2026-03-02 13:48:16+00:00,5,bonne communication et site fiable sur les renseignement des maison a louer ainsi que leurs commentaires.,Google Play,Qualité du bien,,Basse
2026-02-28 17:56:17+00:00,1,impossible de se connecter depuis la mise à jour du 26/02/26...,Google Play,Bug Technique,,Haute
2026-02-28 08:38:20+00:00,3,"moyen, difficile d'ouvrir un lien partagé par un proche ! dysfonctionne régulièrement pour ma part et abritel ne gère plus les paiements des pros apparemment",Google Play,Financier,Bug Technique,Basse
2026-02-27 21:53:55+00:00,1,"Arnaque. Après avoir bien étudié une annonce dans le Var, je réserve pour 3 semaines avec accompte de 1100 euros. Je reçois une confirmation, et suis débitée. Je reçois alors un message du propriétaire qui me dit que le bien n'est pas à louer, ou bien pas à ce prix, et que je suis bien bête d'y avoir cru (???). J'en informe Abritel, qui me dit que je serai remboursée... 7 jours après! Puis je reçois un autre mail du propriétaire qui me propose de louer son bien, mais bien plus cher (?????). Résultat, un imbécile m'a pris pour une andouille, et Abritel cautionne ce genre de pratiques d'accroche très douteuses et illégales. Et aucun dédommagement, bien sûr, alors que mon argent est bloqué une semaine. Les affaires sont bonnes pour Abritel",Trustpilot,Localisation / Langue,Financier,Haute
2026-02-27 15:27:24+00:00,1,l'application est nulle,Google Play,Autre,,Haute
2026-02-26 13:45:16+00:00,5,beaucoup de choix,Google Play,Autre,,Basse
2026-02-25 21:01:47+00:00,1,"Nous sommes très déçus de Abritel, les tarifs ne sont pas à jour, 2 fois de suite nous avons des augmentations de plus de 20%. Nous ne réserverons plus avec cette application, alors que nous avions une première expérience satisfaisante. JFJ",Google Play,Financier,,Haute
2026-02-25 17:07:26+00:00,1,"arnaque et impossible de contacter abritel, il filtre via leur agent virtuel qui ne comprend pas une phrase simple comme ""je veux parler à un agent humain ou conseiller"". l'arnaque vient du site abritel et non d'un hébergement. ne vous laissez pas faire et n'hésitez pas à saisir tous les recours possible comme un médiateur ou RLL",Google Play,Financier,UX / Ergonomie,Haute
2026-02-25 15:01:56+00:00,1,"Inadapté aux pros !. Abritel est une plateforme inadaptée aux professionnels, incapable de séparer les versements par annonces, qui refuse de prendre en charge les paiements à la place des propriétaires, qui ne sait pas synchroniser sa messagerie avec un Channel manager ! Et qui se permet de nous appeler tous les 4 matins pour nous donner des conseils de visibilité !!!!",Trustpilot,Financier,Qualité du bien,Haute
2026-02-25 14:56:58+00:00,1,"Abritel. Abritel, site de réservation à fuir 
Nous avons trouvé et réservé un pavillon en bord de mer en Espagne, et quelques jours plus tard, annulation du propriétaire car le pavillon n'était plus en location depuis 3 ans, nous nous sommes dit qu'un problème comme celui-ci pouvait arriver, c'était un coup de malchance.

Donc nous avons donc recherché a nouveau sur Abritel et trouvé un autre pavillon en bord de mer, que nous avons réservé aussitôt.

Et comble de malchance, nous venons de recevoir une annulation de notre réservation, 1 mois après le paiement de la réservation, car le prix a changé entre temps et le propriétaire a décidé d'annuler la réservation.

Et Abritel nous explique que ils ne peuvent rien faire malgré le règlement de la location et ne font aucun geste commercial pour continuer à chercher une location un peu plus onéreuse et nous garder comme client",Trustpilot,Annulation / Réservation,Financier,Haute
2026-02-24 18:43:05+00:00,5,Très satisfait pour cette première réservation sur le site,Google Play,Autre,,Basse
2026-02-23 23:26:29+00:00,1,"catastrophique.. Nous avons des propriétés listées sur Abritel.
C'est une catastrophe. Pour une réservation, c'est indiqué comme payé, hors le client indique ne pas avoir été débité.  Et nous n'avons rien reçu également. Le service client ne sait rien et doit nous rappeler. 
Nous avons préféré délister nos propriétés",Trustpilot,Service Client,,Haute
2026-02-23 22:36:59+00:00,2,"les propriétaires peuvent annuler sans raison et sans dédommagement pour le loueur. mais abritel met des ""pénalités"". abritel vous laisse seul... à fuir pour des vacances tranquilles.",Google Play,Annulation / Réservation,Qualité du bien,Haute
2026-02-23 18:02:32+00:00,5,"c'est la première fois que j'y ai recours, pour le moment tout à été facile.",Google Play,Autre,,Basse
2026-02-23 13:53:10+00:00,5,cela fait plusieurs fois que je passe par abritel et j en suis contente. merci,Google Play,Autre,,Basse
2026-02-23 06:02:40+00:00,1,"Éviter ABRITEL ET VALINCO RESA2AVCP CONCIERGERIE CORSE. Quand vous passez par ABRITEL votre EMPREINTE DE CARTE peut être confié à une autre entreprise comme, VALINCO RESA2AVCP CORSE, qui est une conciergerie et se sert de votre carte comme si elle en est propriétaire et pompe votre argent sans prévenir de la somme qu’elle va prélever, par exemple une caution exorbitante!!!!
Éviter ABRITEL ET SURTOUT VALINCO RESA2AVCP",Trustpilot,Financier,Qualité du bien,Haute
2026-02-21 19:01:41+00:00,5,pour le moment pas de probleme pour la reservation . inscription facile et rapide,Google Play,Bug Technique,,Basse
2026-02-21 13:38:25+00:00,1,NUL. Impossible de changer la monnaie et la langue sur l’apppli,App Store,Localisation / Langue,,Haute
2026-02-21 11:21:09+00:00,4,"C'est simple de trouver un hébergement, il y a du choix. Les transactions se passent bien aussi. Dommage que si peu de propriétaires acceptent les petits animaux de compagnie. Sinon fonctionnalités du site Abritel très agréable et pratique pour les recherches.",Google Play,Qualité du bien,,Basse
